"","img","bath","sensor","range","time","date","r","g","b","h","s","v","date.time","gray"
"148",148,34.5,34.1,"1545","13:41:55","03/02/2020",0.8911346,0.5074001,0.052954,0.09036359,0.94057688,0.89113461,2020-02-03 13:41:55,0.558650086066417
"149",149,34.5,33.9,"2045","13:42:30","03/02/2020",0.8766735,0.4413402,0.0561552,0.07824017,0.93594514,0.87667353,2020-02-03 13:42:30,0.530783280221359
"150",150,34.4,34.1,"2545","13:43:15","03/02/2020",0.85322237,0.35110759,0.07622345,0.05896279,0.91066403,0.85322237,2020-02-03 13:43:15,0.477375563757142
"151",151,34.9,35,"1535","13:47:35","03/02/2020",0.9004506,0.8999361,0.796189,0.1658442,0.1157883,0.9004506,2020-02-03 13:47:35,0.848081987346765
"152",152,34.9,35,"1545","13:47:55","03/02/2020",0.90145467,0.55717041,0.05133233,0.09916966,0.94305612,0.90145467,2020-02-03 13:47:55,0.588714484456846
"153",153,34.9,35.1,"2045","13:48:20","03/02/2020",0.88792344,0.49827516,0.05380313,0.08881054,0.93940566,0.88792344,2020-02-03 13:48:20,0.571868782626838
"154",154,34.9,34.9,"2545","13:48:45","03/02/2020",0.8692306,0.403391,0.0590073,0.07084132,0.93211547,0.86923056,2020-02-03 13:48:45,0.512979363106599
"155",155,35.3,34.6,"1545","13:51:25","03/02/2020",0.90158789,0.55510353,0.05142566,0.09874152,0.94296101,0.90158789,2020-02-03 13:51:25,0.603686563165788
"156",156,35.3,35,"2045","13:51:50","03/02/2020",0.8844558,0.48426943,0.05504109,0.08625125,0.93776841,0.8844558,2020-02-03 13:51:50,0.576252071039478
"157",157,35.3,34.8,"2545","13:52:30","03/02/2020",0.8672737,0.39797023,0.06137024,0.06961131,0.92923775,0.8672737,2020-02-03 13:52:30,0.484941500956156
"158",158,35.6,35.4,"1545","13:56:05","03/02/2020",0.9015828,0.56532881,0.05102979,0.1007774,0.9433998,0.9015828,2020-02-03 13:56:05,0.591790693583204
"159",159,35.6,35.4,"2045","13:56:35","03/02/2020",0.8899036,0.5035936,0.0533446,0.08970257,0.94005576,0.88990365,2020-02-03 13:56:35,0.553800622136625
"160",160,35.6,35.4,"2545","13:56:55","03/02/2020",0.87547276,0.43128593,0.05636763,0.07628616,0.93561464,0.87547276,2020-02-03 13:56:55,0.489921840978172
